High	Low	Open	Close	Volume	Dividend	Split	Adj_Open	Adj_High	Adj_Low	Adj_Close	Adj_Volume	

69.0	55.0	59.5	56.5	177121500.0	0.0	1.0	13.9022981045	16.1219927598	12.8508637941	13.2013418975	708486000.0	
65.0	57.5	58.47	64.35	49746300.0	0.0	1.0	13.6616364734	15.1873844839	13.4349939665	15.0355106391	198985200.0	
67.7	59.0	67.24	59.73	37391600.0	0.0	1.0	15.7107651184	15.8182450702	13.78547207	13.9560380804	149566400.0	
64.25	59.82	60.63	63.25	21773000.0	0.0	1.0	14.1663249424	15.0121454322	13.9770667666	14.7784933632	87092000.0	
64.48	61.57	62.5	63.96	10777900.0	0.0	1.0	14.6032543114	15.065885408	14.3859578873	14.9443863322	43111600.0	
64.74	62.65	64.05	62.91	9957400.0	0.0	1.0	14.9654150184	15.126634946	14.6383021218	14.6990516597	39829600.0	
63.44	62.16	63.1	62.76	6168800.0	0.0	1.0	14.7434455528	14.8228872563	14.523812608	14.6640038494	24675200.0	
63.48	62.05	62.7	62.36	5539300.0	0.0	1.0	14.6499847252	14.832233339	14.4981108804	14.5705430218	22157200.0	
63.68	60.31	63.0	61.61	15102700.0	0.0	1.0	14.7200803459	14.8789637528	14.0915562804	14.39530397	60410800.0	
62.32	60.5	61.79	62.32	10959100.0	0.0	1.0	14.4373613425	14.561196939	14.1359501735	14.561196939	43836400.0	
66.29	61.82	61.93	65.5	25217000.0	0.0	1.0	14.4700726321	15.4887956529	14.4443709045	15.3042105184	100868000.0	
65.32	63.75	64.87	64.48	9098600.0	0.0	1.0	15.1570097149	15.262153146	14.8953193977	15.065885408	36394400.0	
65.8	64.02	65.02	65.04	7075400.0	0.0	1.0	15.1920575253	15.3743061391	14.9584054563	15.1967305667	28301600.0	
68.24	64.81	65.2	68.09	13481400.0	0.0	1.0	15.2341148977	15.9444171874	15.1429905908	15.9093693771	53925600.0	
68.72	65.61	68.35	65.79	12081100.0	0.0	1.0	15.970118915	16.0565701805	15.329912246	15.3719696184	48324400.0	
66.73	65.11	66.67	66.11	5593000.0	0.0	1.0	15.5775834391	15.5916025632	15.2130862115	15.4467382805	22372000.0	
66.77	65.25	65.25	66.11	6605400.0	0.0	1.0	15.2457975011	15.600948646	15.2457975011	15.4467382805	26421600.0	
67.24	65.53	66.98	65.68	7110900.0	0.0	1.0	15.6500155805	15.7107651184	15.3112200805	15.3462678908	28443600.0	
66.55	64.0	66.54	64.35	5972000.0	0.0	1.0	15.5472086701	15.5495451908	14.9537324149	15.0355106391	23888000.0	
66.95	64.56	65.0	66.14	6284200.0	0.0	1.0	15.1873844839	15.6430060184	15.0845775735	15.4537478425	25136800.0	
67.75	66.01	66.47	67.04	5614900.0	0.0	1.0	15.5308530253	15.8299276736	15.4233730736	15.6640347046	22459600.0	
70.447	67.2	68.1	69.0	26024900.0	0.0	1.0	15.9117058977	16.4600873036	15.7014190357	16.1219927598	104099600.0	
72.5	68.85	69.7	70.97	14712000.0	0.0	1.0	16.2855492081	16.9397750013	16.0869449495	16.5822873357	58848000.0	
72.4	70.0	72.1	70.28	11839400.0	0.0	1.0	16.8463141737	16.9164097944	16.3556448288	16.4210674081	47357600.0	
71.7	69.69	71.15	70.08	9329900.0	0.0	1.0	16.6243447081	16.7528533461	16.2832126874	16.3743369943	37319600.0	
72.99	70.04	71.2	72.3	9521700.0	0.0	1.0	16.6360273116	17.0542645151	16.3649909116	16.8930445875	38086800.0	
76.08	73.91	76.0	75.1	25365000.0	0.0	1.0	17.7575572427	17.7762494082	17.2692244185	17.5472703806	101460000.0	
